num,time,x,y,z
176,8032,0.946680696,-0.290921436,9.816035112
177,8032,5.288465052,-0.420849,9.640808892
178,8032,11.141479908,-0.680857164,6.838872768
179,8032,8.308018368,-0.874753776,7.834371948
180,8032,7.338994416,-0.029535948,8.002864584
181,8032,2.9574207,-0.001683396,8.269759368
182,8032,-2.338696152,-0.239348304,10.306362456
183,8032,-3.584715264,0.030148092,10.939472388
184,8032,-0.981572904,-0.200018052,11.772447336
185,8032,1.060233408,-0.277454268,11.344711716
186,8032,3.101580612,-0.352594944,10.883308176
187,8032,4.611127716,-0.720952596,10.038702492
188,8032,2.62533258,-0.665094456,9.70324758
189,8032,1.13552712,-0.438601176,10.286008668
190,8032,-0.169257816,0.178593012,10.40721318
191,8032,-0.566692308,0.32061042,10.838468628
192,8032,-0.436458672,-0.36652122,9.903877776
193,8032,0.759517668,-0.602043624,8.7651369
194,8032,1.644524856,-0.991520244,8.380557432
195,8032,1.552856292,-0.590106816,9.381259836
196,8032,1.285196328,0.128703276,9.062332812
197,8032,0.676266084,0.220524876,9.5456205
198,8032,0.641373876,-0.131457924,9.526644036
199,8032,0.164360664,-1.121294772,10.089816516
200,8032,1.107674568,-0.611531856,9.442474236
201,8033,1.066813956,0.09794304,9.077789448
202,8031,0.946986768,-0.0153036,9.179252316
203,8033,1.180825776,-0.27393444,9.374832324
204,8032,0.711311328,-0.307296288,10.317534084
205,8032,1.185875964,-0.282045348,10.479752244
206,8032,0.649331748,-0.178593012,10.226783736
207,8032,0.802520784,-0.168645672,10.931514516
208,8032,0.89755614,0.38259,10.225406412
209,8032,0.999019008,-0.115236108,9.884901312
210,8032,1.148688216,-0.657442656,9.328768488
211,8032,1.084566132,-0.397587528,9.37192464
212,8033,0.812774196,-0.741918528,8.476511004
213,8032,1.180825776,-0.233073828,8.844103476
214,8032,1.316415672,-0.070549596,9.555414804
215,8032,1.083035772,-0.39559806,10.455725592
216,8032,1.346104656,-0.324283284,10.95049098
217,8032,1.516280688,-0.081721224,9.718398144
218,8032,0.784768608,0.130539708,10.428485184
219,8032,0.970095204,-1.007895096,8.77202352
220,8032,1.80735516,-1.18908972,9.160887996
221,8032,1.183886496,-0.761507136,9.529857792
222,8032,2.321709156,0.515425248,9.705237048
223,8032,1.2931542,1.359877896,10.27177632
224,8032,1.483071876,0.502570224,10.697369436
225,8032,0.458495856,-1.177765056,9.279184824
226,8032,0.212567004,-1.782716364,9.543937104
227,8032,0.511293276,-0.226799352,8.814720564
228,8032,0.917909928,-0.191141964,9.258831036
229,8032,0.551541744,0.209506284,8.442843084
230,8032,1.292082948,0.121816656,8.755495632
231,8032,0.554449428,-0.72845136,8.381934756
232,8033,0.550011384,-0.948670164,9.92132388
233,8031,0.481604292,-0.031984524,11.44250172
234,8032,0.634793328,0.200936268,9.87770862
235,8033,0.839249424,-0.034892208,9.796140432
